utc,product_name,store_section,category,subcategory,labels,nutriscore,nova_group,allergens,diet_tags,image_url,price,x,y
101403165,Onion,Vegetables,Fresh Vegetables,Fresh Onions,"Vegetarian,Green Dot India",a,1.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/000/010/140/3165/front_en.3.400.jpg,1.99,7,35
101481695,Spinach,Vegetables,Fresh Vegetables,Fresh Spinachs,"Vegetarian,Green Dot India",a,1.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/000/010/148/1695/front_en.3.400.jpg,1.99,7,35
101646267,Carrot,Vegetables,Fresh Vegetables,Fresh Vegetables,"Vegetarian,Green Dot India",a,1.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/000/010/164/6267/front_en.12.400.jpg,1.99,7,35
123456784,Salam de vară,Meats,Meats,Meats,,unknown,,,,https://images.openfoodfacts.org/images/products/000/012/345/6784/front_en.5.400.jpg,7.99,1,28
201901406,Sparkling water,Waters,Waters,Waters,,b,4.0,,"en:palm-oil-free,en:maybe-vegan,en:maybe-vegetarian",https://images.openfoodfacts.org/images/products/000/020/190/1406/front_en.3.400.jpg,1.49,7,16
260814065,Gluten free multigrain bread,Breads,Breads,Gluten Free Breads,No gluten,c,4.0,en:eggs,"en:palm-oil-free,en:non-vegan,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/000/026/081/4065/front_en.13.400.jpg,3.99,15,28
477414034,Figs,Fruits,Fruits,Figs,,unknown,1.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/000/047/741/4034/front_en.3.400.jpg,2.49,9,41
500000050,Smuckers Natural Peanut Butter,Spreads,Spreads,Plant Based Spreads,"No GMOs,Non GMO project",unknown,1.0,,"en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/000/050/000/0050/front_en.3.400.jpg,4.99,16,5
512203101,8&quot; Whole Wheat Tortillas,Breads,Breads,Flatbreads,Halal,unknown,3.0,en:gluten,"en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/000/051/220/3101/front_en.10.400.jpg,3.99,15,28
547404828,Organic Hummus,Condiments,Condiments,Sauces,"Organic,USDA Organic",unknown,1.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/000/054/740/4828/front_en.3.400.jpg,3.29,7,25
590001282,French Beans,Vegetables,Fresh Vegetables,Fresh Vegetables,"Vegetarian,Green Dot India",unknown,,,en:vegetarian,https://images.openfoodfacts.org/images/products/000/059/000/1282/front_en.3.400.jpg,1.99,7,35
600194566,Grass Fed Ground Beef,Meats,Meats,Meats,,a,,,,https://images.openfoodfacts.org/images/products/000/060/019/4566/front_en.3.400.jpg,7.99,1,28
651003214,Romaine Hearts,Vegetables,Fresh Vegetables,Fresh Vegetables,No gluten,a,,,"en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/000/065/100/3214/front_en.5.400.jpg,1.99,7,35
651011004,Iceberg lettuce,Fruits,Fruits,Fruits,,unknown,,,,https://images.openfoodfacts.org/images/products/000/065/101/1004/front_en.3.400.jpg,2.49,9,41
651111117,Cauliflower,Fruits,Fruits,Fruits,,unknown,,,,https://images.openfoodfacts.org/images/products/000/065/111/1117/front_en.8.400.jpg,2.49,9,41
651317007,Brussels sprouts,Fruits,Fruits,Fruits,,a,,,,https://images.openfoodfacts.org/images/products/000/065/131/7007/front_en.3.400.jpg,2.49,9,41
651319001,Microwavable Brussels Sprouts,Fruits,Fruits,Fruits,,a,1.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/000/065/131/9001/front_en.4.400.jpg,2.49,9,41
651511009,Celery,Fruits,Fruits,Fruits,,b,,,,https://images.openfoodfacts.org/images/products/000/065/151/1009/front_en.4.400.jpg,2.49,9,41
651700229,Broccoli,Fruits,Fruits,Fruits,,a,,,,https://images.openfoodfacts.org/images/products/000/065/170/0229/front_en.4.400.jpg,2.49,9,41
651881058,Spinach,Vegetables,Fresh Vegetables,Fresh Spinachs,,a,1.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/000/065/188/1058/front_en.5.400.jpg,1.99,7,35
787423049,Bowtie Noodles,Pastas,Pastas,Pastas,,a,1.0,en:gluten,"en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/000/078/742/3049/front_en.7.400.jpg,2.29,7,16
