utc,product_name,department,price,quantity,ingredients,allergens,categories,labels,nutriscore,nova_group,diet_tags
850180006077,Cashew Butter Nut Butter Filled Dark Chocolate,Candy,5.99,6,"Organic cacao, organic unrefined coconut sugar, organic cashew, organic cocoa butter, organic vanilla bean, sea salt.",en:nuts,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Chocolates,Dark chocolates,Dark chocolate bar","Vegetarian,Organic,No GMOs,USDA Organic,Vegan,Made in Italy,Non GMO project,Vegan Action",e,3,"['en:palm-oil-free', 'en:vegan', 'en:vegetarian']"
078742269405,LEAN GROUND BEEF,Meat & Seafood,6.97,6,,,"Meats and their products, Beef and its products, Meats, Beef, Ground beef, Lean ground beef",,b,,
078742353272,Deluxe American Pasteurized Process American Cheese,Dairy & Eggs,3.98,8,"Cultured milk, water, cream, sodium citrate, salt, sorbic acid (preservative), citric acid, apo carotenal and beta carotene (color), enzymes, soy lecithin.",,"Dairies, Fermented foods, Fermented milk products, Cheeses",,e,4,"['en:palm-oil-free', 'en:non-vegan', 'en:vegetarian-status-unknown']"
071464200800,Carrot Juice,Beverages,5.98,5,Carrot juice.,,"Plant-based foods and beverages, Beverages, Plant-based beverages, Vegetable-based foods and beverages, Juices and nectars, Vegetable-based beverages, Vegetable juices, en:carrot-juices",,b,1,"['en:palm-oil-free', 'en:vegan', 'en:vegetarian']"
009542015206,Lindor,Candy,10.88,6,"Milk chocolate [sugar, milk, cocoa butter, chocolate, soy lecithin (emulsifier), barley malt powder, vanillin (artificial flavoring)], vegetable oil (coconut, palm kernel), sugar, chocolate, cocoa butter, milk, soy lecithin (emulsifier), barley malt powder, artificial flavors.",en:milk,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies",,e,4,"['en:palm-oil', 'en:non-vegan', 'en:vegetarian-status-unknown']"
038000245565,Pringles Scorchin BBQ,Snacks,2.4,10,"dried potatoes, vegetable oil (corn, cottonseed, high oleic soybean, and/or sunflower oil), degerminated yellow corn flour, cornstarch, rice flour, mono - and diglycerides. contains 2% or less of sugar, salt, citric acid, whey, monosodium glutamate, onion powder, tomato powder, whey protein concentrate, cheddar cheese (milk, cheese cultures, salt, enzymes), natural flavors, garlic powder, spices, disodium inosinate, disodium guanylate, hydrolyzed corn protein, yeast extract, lactic acid, malted barley flour, paprika extract color, vinegar, red 40 lake, malic acid, wheat starch, yellow 6 lake, yellow 5 lake.

contains milk and wheat ingredients.",,"Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Salty snacks made from potato",,e,4,"['en:may-contain-palm-oil', 'en:non-vegan', 'en:vegetarian-status-unknown']"
072878870382,Chipotle Salsa Cremosa,Deli,2.73,9,"WATER, SOYBEAN OIL, TOMATO PASTE, ONION, IODIZED SALT (CONTAINS POTASSIUM IODATE), ACETIC ACID (TO ACIDIFY, CHIPOTLE PEPPERS, CONTAINS 2% OR LESS OF CILANTRO, SUGAR, GARLIC POWDER, XANTHAN GUM, SPICES, SODIUM ERYTHORBATE (ANTIOXIDANT)",,"Condiments, Sauces",,e,4,"['en:palm-oil-free', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']"
044000020323,Bits cracker sandwiches,Snacks,6.44,6,"Unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid), vegetable oil (soybean and/or canola and/or palm and/or partially hydrogenated cottonseed oil), palm oil, sugar, whey, sunflower oil, leavening (baking soda and/or calcium phosphate), cheddar cheese powder (pasteurized milk, cheese culture, salt, enzymes), salt, disodium phosphate (stabilizer), soy lecithin, natural flavor, color (turmeric extract and annatto extract), dried yeast, buttermilk, lactic acid, vinegar, malted barley flour.","en:gluten,en:milk","Snacks, Sweet snacks, Biscuits and cakes",,e,4,"['en:palm-oil', 'en:non-vegan', 'en:vegetarian-status-unknown']"
012000028496,DOUBLESHOT ENERGY VANILLA ENERGY COFFEE BEVERAGE,Beverages,2.98,10,"Starbucks Coffee (Water, Coffee), Reduced-Fat Milk, Skim Milk, Sugar, Maltodextrin, Dextrose, Taurine, Cellulose Gel, Natural Flavor, Panax Ginseng Root Extract, Inositol, Sodium Ascorbate, Guarana (Paullinia Cupana) Seed Extract, Cellulose Gum, Niacinamide, Sucralose, Ascorbic Acid (Vitamin C), Tricalcium Phosphate, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin, Vitamin A Palmitate, Vitamin D3.",,"Beverages and beverages preparations, Beverages, Sweetened beverages, Coffee energy drink, en:energy-drinks",,c,4,"['en:palm-oil-free', 'en:non-vegan', 'en:vegetarian-status-unknown']"
034000069972,Hershey snack size,Candy,3.48,8,,,,,unknown,,
