,index,SHIPPING_LOCATION,DEPARTMENT,CATEGORY,SUBCATEGORY,BREADCRUMBS,SKU,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRICE_CURRENT,PRODUCT_SIZE,PROMOTION,RunDate,tid
TRUE,748,75211,Candy,Better for you,,Candy/Better for you,610247835,https://www.walmart.com/ip/Hu-Cashew-Butter-Pure-Vanilla-Bean-Dark-Chocolate-2-1-oz/610247835?fulfillmentIntent=Pickup,"Hu Cashew Butter + Pure Vanilla Bean Dark Chocolate, 2.1 oz",Hu Kitchen,5.99,4.99,2.1,,9/11/2022 21:20,16164552
TRUE,1498,23111,Meat & Seafood,Game Time Faves,,Meat & Seafood/Game Time Faves,827143447,https://www.walmart.com/ip/All-Natural-93-Lean-7-Fat-Ground-Beef-Burgers-4-Count-1-lb/827143447?fulfillmentIntent=Pickup,"All Natural* 93% Lean/7% Fat Ground Beef Burgers 4 Count, 1 lb",Fresh Ground Beef,6.97,6.97,1,,9/11/2022 21:20,16165302
TRUE,2248,79936,Dairy & Eggs,Cheese,,Dairy & Eggs/Cheese,10452424,https://www.walmart.com/ip/Great-Value-Gluten-Free-Deluxe-Pasteurized-Process-Sliced-American-Cheese-16-oz-24-Count/10452424?fulfillmentIntent=Pickup,"Great Value Gluten Free Deluxe Pasteurized Process Sliced American Cheese, 16 oz, 24 Count",Great Value,3.98,3.98,16,,9/11/2022 21:20,16166052
TRUE,2998,75211,Beverages,Orange Juice & Chilled,,Beverages/Orange Juice & Chilled,43139288,https://www.walmart.com/ip/Bolthouse-Farms-100-Carrot-52-oz/43139288?fulfillmentIntent=Pickup,"Bolthouse Farms 100% Carrot, 52 oz.",Bolthouse Farms,5.98,5.98,52,,9/11/2022 21:20,16166802
TRUE,3748,89108,Candy,Chocolate,,Candy/Chocolate,163580070,https://www.walmart.com/ip/Lindt-LINDOR-Milk-Chocolate-Truffles-15-2-oz-Bag/163580070?fulfillmentIntent=Pickup,"Lindt LINDOR Milk Chocolate Truffles, 15.2 oz. Bag",Lindt,10.88,10.88,15.2,,9/11/2022 21:20,16167552
TRUE,5248,96797,Snacks,Chips,,Snacks/Chips,424822838,https://www.walmart.com/ip/Pringles-Potato-Crisps-Chips-BBQ-5-5-Oz-Can/424822838?fulfillmentIntent=Pickup,"Pringles Potato Crisps Chips, BBQ, 5.5 Oz, Can",Pringles,2.4,2.4,5.5,,9/11/2022 21:20,16169052
TRUE,5998,23223,Deli,Deli Meat & Cheese,,Deli/Deli Meat & Cheese,21063145,https://www.walmart.com/ip/Prima-Della-Buffalo-Style-Chicken-Breast-Deli-Sliced/21063145?fulfillmentIntent=Pickup,"Prima Della Buffalo Style Chicken Breast, Deli Sliced",Prima Della,10.97,10.97,,,9/11/2022 21:20,16169802
TRUE,6748,23223,Deli,"Hummus, Dips, & Salsa",,"Deli/Hummus, Dips, & Salsa",839695243,https://www.walmart.com/ip/HERDEZ-Chipotle-Salsa-Cremosa-15-3-oz/839695243?fulfillmentIntent=Pickup,"HERDEZ Chipotle Salsa Cremosa, 15.3 oz",Herdez,2.73,2.73,15.3,,9/11/2022 21:20,16170552
TRUE,7498,96797,Snacks,Crackers,,Snacks/Crackers,10801122,https://www.walmart.com/ip/RITZ-Bits-Cheese-Sandwich-Crackers-12-Snack-Packs/10801122?fulfillmentIntent=Pickup,"RITZ Bits Cheese Sandwich Crackers, 12 Snack Packs",Ritz,6.44,6.44,,,9/11/2022 21:20,16171302
TRUE,8248,75211,Beverages,Energy Drinks,,Beverages/Energy Drinks,14532503,https://www.walmart.com/ip/Starbucks-Doubleshot-Energy-Vanilla-Coffee-Energy-Drink-15-oz-Can/14532503?fulfillmentIntent=Pickup,"Starbucks Doubleshot Energy Vanilla Coffee Energy Drink, 15 oz Can",Starbucks,2.98,2.98,15,,9/11/2022 21:20,16172052
TRUE,8998,96797,Candy,Halloween candy,,Candy/Halloween candy,484835173,https://www.walmart.com/ip/HERSHEY-S-Milk-Chocolate-Snack-Size-Candy-Bars-Halloween-10-35-oz-Bag/484835173?fulfillmentIntent=Pickup,"HERSHEY'S, Milk Chocolate Snack Size Candy Bars, Halloween, 10.35 oz, Bag",Hershey's,3.48,3.48,10.35,,9/11/2022 21:20,16172802
TRUE,9748,33012,Beverages,Great Value Beverages,,Beverages/Great Value Beverages,379150270,https://www.walmart.com/ip/Great-Value-Hazelnut-Cappuccino-Mix-Single-Serve-Medium-Roast-Coffee-Pods-12-Ct/379150270?fulfillmentIntent=Pickup,"Great Value Hazelnut Cappuccino Mix, Single Serve Medium Roast Coffee Pods, 12 Ct",Great Value,4.78,4.78,12,,9/11/2022 21:20,16173552
TRUE,11248,89108,Candy,Gum,,Candy/Gum,139941034,https://www.walmart.com/ip/Extra-Spearmint-Sugar-Free-Chewing-Gum-Pack-35-ct/139941034?fulfillmentIntent=Pickup&athbdg=L1600,Extra Spearmint Sugar Free Chewing Gum Pack - 35 ct,Extra,2.98,2.98,35,,9/11/2022 21:20,16175052
TRUE,11998,75211,Beverages,Sparkling Water,,Beverages/Sparkling Water,10452357,https://www.walmart.com/ip/Clear-American-Sparkling-Water-Strawberry-33-8-fl-oz/10452357?fulfillmentIntent=Pickup,"Clear American Sparkling Water, Strawberry, 33.8 fl oz",Clear American,0.7,0.7,33.8,,9/11/2022 21:20,16175802
TRUE,13498,23223,Dairy & Eggs,Cheese,,Dairy & Eggs/Cheese,10452775,https://www.walmart.com/ip/Great-Value-Pepper-Jack-Cheese-8-oz/10452775?fulfillmentIntent=Pickup,"Great Value Pepper Jack Cheese, 8 oz",Great Value,2,2,8,,9/11/2022 21:20,16177302
TRUE,14248,23223,Dairy & Eggs,Cheese,,Dairy & Eggs/Cheese,159642378,https://www.walmart.com/ip/Sargento-Sliced-Havarti-Natural-Cheese-10-slices/159642378?fulfillmentIntent=Pickup,"Sargento Sliced Havarti Natural Cheese, 10 slices",Sargento,3.38,3.38,,,9/11/2022 21:20,16178052
TRUE,14998,48180,Beverages,Drink Mixes,,Beverages/Drink Mixes,734373480,https://www.walmart.com/ip/Great-Value-Sugar-Free-Energy-Electrolyte-Watermelon-Limeade-Drink-Mix-1-1-oz-10-Packet/734373480?fulfillmentIntent=Pickup&athbdg=L1600,"Great Value Sugar-Free Energy Electrolyte Watermelon Limeade Drink Mix, 1.1 oz, 10 Packet",Great Value,1.94,1.94,1.1,,9/11/2022 21:20,16178802
TRUE,15748,89108,Beverages,Orange Juice & Chilled,,Beverages/Orange Juice & Chilled,23816535,https://www.walmart.com/ip/Naked-Juice-Mighty-Mango-64-fl-oz/23816535?fulfillmentIntent=Pickup,"Naked Juice, Mighty Mango, 64 fl oz",Naked,7.88,7.88,64,,9/11/2022 21:20,16179552
TRUE,16498,96797,Candy,Gummy & chewy candy,,Candy/Gummy & chewy candy,853921436,https://www.walmart.com/ip/Nerds-Gummy-Clusters-Candy-Stand-Up-Bag-8-Oz/853921436?fulfillmentIntent=Pickup&athbdg=L1200,"Nerds Gummy Clusters Candy Stand Up Bag, 8 Oz",Nerds,3.48,3.48,8,,9/11/2022 21:20,16180302
TRUE,17248,23223,Dairy & Eggs,Pudding & Gelatin,,Dairy & Eggs/Pudding & Gelatin,123120621,https://www.walmart.com/ip/Winky-Sugar-Free-Parfait-28-oz-8-pk-3-5-oz/123120621?fulfillmentIntent=Pickup,Winky Sugar Free Parfait 28 oz (8 pk 3.5 oz),Winky Designs,3.22,3.22,28,,9/11/2022 21:20,16181052
TRUE,17998,72034,Snacks,Fruit Snacks,,Snacks/Fruit Snacks,207604724,https://www.walmart.com/ip/Slammers-Organic-Snack-Fruit-Pouches-Watermelon-Kiwi-3-5-oz-4-Pack/207604724?fulfillmentIntent=Pickup,"Slammers Organic Snack Fruit Pouches, Watermelon Kiwi, 3.5 oz, 4 Pack",Slammers,4.68,4.68,3.5,,9/11/2022 21:20,16181802
